Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
4.7600       -1532.5756   -1532.7178       0.1422   275.0
4.7700       -1532.5496   -1532.9038       0.3543   685.2
4.7800       -1532.4843   -1532.8168       0.3326   643.2
4.7900       -1532.8248   -1533.0610       0.2361   456.7
4.8000       -1532.8926   -1533.0518       0.1591   307.8
4.8100       -1532.7651   -1532.9508       0.1857   359.2
4.8200       -1532.7738   -1532.9788       0.2050   396.4
4.8300       -1532.8223   -1532.9631       0.1408   272.3
4.8400       -1532.9178   -1533.0618       0.1440   278.4
4.8500       -1532.7926   -1532.8708       0.0782   151.3
4.8600       -1532.8687   -1532.9609       0.0921   178.1
4.8700       -1532.7447   -1532.8639       0.1192   230.6
4.8800       -1532.7049   -1532.8210       0.1161   224.6
4.8900       -1532.6002   -1532.8839       0.2837   548.7
4.9000       -1532.5662   -1532.7982       0.2320   448.7
4.9100       -1532.6095   -1532.7711       0.1617   312.7
4.9200       -1532.6353   -1532.9518       0.3164   612.0
